iter	RMSE
0	0.9298156513
1	0.9249283589
2	0.9203085717
3	0.9155188866
4	0.9103576132
5	0.9058477165
6	0.9012310168
7	0.8979777508
8	0.894375337
9	0.8898912955
10	0.8858656163
11	0.8813451402
12	0.877790897
13	0.8741208112
14	0.8696809653
15	0.8665707424
16	0.8633593373
17	0.8595918123
18	0.855918562
19	0.8521867953
20	0.8495198402
21	0.8465069055
22	0.8435492783
23	0.8405754775
24	0.8372733322
25	0.8348186856
26	0.8317411515
27	0.8296453642
28	0.826653187
29	0.8247342342
30	0.8224170008
31	0.8210273068
32	0.818745354
33	0.8172040278
34	0.8151908807
35	0.8126606877
36	0.8094957102
37	0.8068176578
38	0.8046840721
39	0.802828919
40	0.7994569286
41	0.7984475223
42	0.7968951259
43	0.7940425184
44	0.7928638222
45	0.7902567586
46	0.788735099
47	0.7869525741
48	0.7855326129
49	0.7841605368
50	0.7818794732
51	0.7798988076
52	0.7782842678
53	0.776457508
54	0.7745997872
55	0.7729771135
56	0.7709438181
57	0.7692787482
58	0.7671370485
59	0.7657981591
60	0.7640720706
61	0.7619855583
62	0.7602011463
63	0.7583492421
64	0.7571392734
65	0.7560148225
66	0.754179239
67	0.753057158
68	0.7512612083
69	0.7496803489
70	0.7479434576
71	0.7462201666
72	0.7445022314
73	0.7435740556
74	0.7427012912
75	0.7415363424
76	0.7401414032
77	0.7391237827
78	0.7380575966
79	0.7367546166
80	0.7359788606
81	0.7345963394
82	0.7336858294
83	0.7323291329
84	0.7309731969
85	0.7301326412
86	0.7294694403
87	0.7277109886
88	0.7263138145
89	0.7255847778
90	0.7242222296
91	0.7233333257
92	0.7226507544
93	0.721145753
94	0.7198315458
95	0.7181632916
96	0.7167657537
97	0.7155585961
98	0.714615701
99	0.7137232753
100	0.7121732101
101	0.7111106066
102	0.7103176688
103	0.7090625569
104	0.7076325966
105	0.7060351556
106	0.7047445415
107	0.7038178011
108	0.7024619471
109	0.7013976504
110	0.700995618
111	0.6998831657
112	0.6986187024
113	0.6979200401
114	0.6971299048
115	0.6961224011
116	0.695039418
117	0.6944465319
118	0.6939202852
119	0.6929769349
120	0.6921916219
121	0.6915061984
122	0.6906786797
123	0.6900146975
124	0.6889082604
125	0.6881184239
126	0.687242651
127	0.6861871263
128	0.6851005632
129	0.6838664448
130	0.6824941518
131	0.6810426027
132	0.6796308192
133	0.678960966
134	0.6778145265
135	0.6763682888
136	0.6760103382
137	0.6749042989
138	0.674103639
139	0.6728809006
140	0.67235962
141	0.6715388299
142	0.6709385211
143	0.6698190913
144	0.6692562407
145	0.6670076175
