iter	Passed	Remaining
0	6	12883
1	11	11720
2	15	10548
3	19	9927
4	23	9481
5	27	9170
6	31	9002
7	40	10015
8	43	9728
9	47	9529
10	51	9352
11	55	9242
12	59	9077
13	63	8990
14	67	8926
15	71	8890
16	75	8828
17	79	8782
18	83	8683
19	87	8693
20	91	8632
21	95	8571
22	98	8503
23	103	8485
24	107	8464
25	111	8443
26	114	8384
27	119	8444
28	123	8388
29	129	8514
30	134	8517
31	138	8534
32	143	8529
33	146	8489
34	151	8478
35	154	8456
36	159	8442
37	163	8445
38	167	8433
39	172	8439
40	175	8395
41	179	8362
42	185	8441
43	189	8419
44	193	8400
45	196	8366
46	201	8376
47	206	8392
48	210	8392
49	214	8371
50	219	8374
51	222	8340
52	226	8324
53	230	8291
54	234	8288
55	237	8256
56	241	8236
57	245	8209
58	249	8194
59	253	8195
60	257	8188
61	261	8187
62	265	8171
63	269	8163
64	273	8148
65	278	8149
66	282	8142
67	286	8134
68	289	8115
69	293	8102
70	298	8112
71	302	8100
72	306	8097
73	310	8091
74	317	8148
75	321	8128
76	324	8110
77	328	8086
78	332	8075
79	336	8069
80	340	8060
81	343	8038
82	348	8043
83	352	8040
84	356	8025
85	360	8017
86	364	8014
87	368	8008
88	372	7992
89	375	7973
90	380	7972
91	383	7961
92	387	7947
93	391	7933
94	395	7928
95	400	7935
96	403	7923
97	407	7910
98	412	7913
99	416	7913
100	420	7898
101	423	7889
102	427	7867
103	431	7863
104	434	7847
105	438	7842
106	442	7832
107	448	7862
108	452	7849
109	456	7837
110	459	7823
111	463	7818
112	467	7809
113	471	7799
114	475	7797
115	479	7791
116	483	7778
117	487	7772
118	491	7763
119	496	7782
120	500	7768
121	504	7761
122	507	7749
123	512	7756
124	516	7743
125	520	7734
126	523	7720
127	527	7708
128	531	7706
129	535	7707
130	539	7698
131	544	7705
132	548	7693
133	552	7692
134	556	7687
135	560	7684
136	564	7679
137	568	7674
138	573	7678
139	577	7673
140	581	7669
141	586	7669
142	590	7663
143	596	7691
